#Release 13.2 - par O.61xd (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Thu Feb 09 09:51:51 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DMA_FPGA_map.ncd
#OUTPUT FILE:      DMA_FPGA_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -2
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
M21,,IOBM,IO_L46P_FCS_B_M1DQ2_1,UNUSED,,1,,,,,,,,,
M22,,IOBS,IO_L46N_FOE_B_M1DQ3_1,UNUSED,,1,,,,,,,,,
N1,,IOBS,IO_L37N_M3DQ1_3,UNUSED,,3,,,,,,,,,
N2,,,GND,,,,,,,,,,,,
N3,,IOBM,IO_L37P_M3DQ0_3,UNUSED,,3,,,,,,,,,
N4,PCI_AD<21>,IOB,IO_L26N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
N5,,,VCCO_3,,,3,,,,,3.30,,,,
N6,PCI_AD<12>,IOB,IO_L11P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
N7,PCI_AD<13>,IOB,IO_L11N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
N8,,,VCCAUX,,,,,,,,2.5,,,,
N9,,,GND,,,,,,,,,,,,
N10,,,VCCINT,,,,,,,,1.2,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,VCCINT,,,,,,,,1.2,,,,
N15,,,SUSPEND,,,,,,,,,,,,
N16,bc3,IOB,IO_L72N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
N17,,,GND,,,,,,,,,,,,
N18,,,VCCO_1,,,1,,,,,3.30,,,,
N19,,IOBS,IO_L53N_VREF_1,UNUSED,,1,,,,,,,,,
N20,,IOBM,IO_L47P_FWE_B_M1DQ0_1,UNUSED,,1,,,,,,,,,
N21,,,GND,,,,,,,,,,,,
N22,,IOBS,IO_L47N_LDC_M1DQ1_1,UNUSED,,1,,,,,,,,,
P1,,IOBS,IO_L36N_M3DQ9_3,UNUSED,,3,,,,,,,,,
P2,,IOBM,IO_L36P_M3DQ8_3,UNUSED,,3,,,,,,,,,
P3,PCI_AD<20>,IOB,IO_L26P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P4,PCI_AD<17>,IOB,IO_L24N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P5,PCI_AD<7>,IOB,IO_L8N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P6,PCI_AD<6>,IOB,IO_L8P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P7,PCI_AD<5>,IOB,IO_L7N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P8,PCI_AD<4>,IOB,IO_L7P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,,,GND,,,,,,,,,,,,
P11,,,VCCINT,,,,,,,,1.2,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,,GND,,,,,,,,,,,,
P15,,,NC,,,,,,,,,,,,
P16,,,NC,,,,,,,,,,,,
P17,bc2,IOB,IO_L72P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P18,start_pulse_B,IOB,IO_L73P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P19,BUS_REQ_R_1_PAD_B,IOB,IO_L59P_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,YES,NONE,
P20,BUS_REQ_R_2_PAD_B,IOB,IO_L59N_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,YES,NONE,
P21,,IOBM,IO_L48P_HDC_M1DQ8_1,UNUSED,,1,,,,,,,,,
P22,,IOBS,IO_L48N_M1DQ9_1,UNUSED,,1,,,,,,,,,
R1,PCI_AD<31>,IOB,IO_L35N_M3DQ11_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
R2,,,VCCO_3,,,3,,,,,3.30,,,,
R3,PCI_AD<30>,IOB,IO_L35P_M3DQ10_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
R4,PCI_AD<16>,IOB,IO_L24P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
R5,,,GND,,,,,,,,,,,,
R6,,,VCCAUX,,,,,,,,2.5,,,,
R7,BUS_AD_PAD_A<25>,IOB,IO_L60N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
R8,BUS_AD_PAD_A<23>,IOB,IO_L59N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
R9,BUS_AD_PAD_A<22>,IOB,IO_L59P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
R10,,,VCCAUX,,,,,,,,2.5,,,,
R11,,IOBM,IO_L40P_2,UNUSED,,2,,,,,,,,,
R12,,,VCCAUX,,,,,,,,2.5,,,,
R13,,IOBS,IO_L23N_2,UNUSED,,2,,,,,,,,,
R14,,,VCCINT,,,,,,,,1.2,,,,
R15,bc1,IOB,IO_L10N_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
R16,bc0,IOB,IO_L10P_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
R17,,,NC,,,,,,,,,,,,
R18,,,GND,,,,,,,,,,,,
R19,end_pulse_B,IOB,IO_L73N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
R20,,IOBM,IO_L49P_M1DQ10_1,UNUSED,,1,,,,,,,,,
R21,,,VCCO_1,,,1,,,,,3.30,,,,
R22,,IOBS,IO_L49N_M1DQ11_1,UNUSED,,1,,,,,,,,,
T1,PCI_AD<29>,IOB,IO_L34N_M3UDQSN_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
T2,PCI_AD<28>,IOB,IO_L34P_M3UDQS_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
T3,PCI_AD<9>,IOB,IO_L9N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
T4,PCI_AD<8>,IOB,IO_L9P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
T5,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
T6,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
T7,BUS_AD_PAD_A<24>,IOB,IO_L60P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
T8,BUS_AD_PAD_A<10>,IOB,IO_L51P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
T9,,,VCCO_2,,,2,,,,,3.30,,,,
T10,BUS_AD_PAD_A<12>,IOB,IO_L52P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
T11,,IOBS,IO_L40N_2,UNUSED,,2,,,,,,,,,
T12,,IOBM,IO_L22P_2,UNUSED,,2,,,,,,,,,
T13,,,VCCO_2,,,2,,,,,3.30,,,,
T14,,IOBM,IO_L23P_2,UNUSED,,2,,,,,,,,,
T15,rst_channel_0_pad,IOB,IO_L7N_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,NO,NONE,
T16,BUS_S_RDY_PAD_A,IOB,IO_L7P_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,YES,NONE,
T17,,IOBS,IO_L4N_VREF_2,UNUSED,,2,,,,,,,,,
T18,,IOBM,IO_L4P_2,UNUSED,,2,,,,,,,,,
T19,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
T20,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
T21,,IOBM,IO_L50P_M1UDQS_1,UNUSED,,1,,,,,,,,,
T22,,IOBS,IO_L50N_M1UDQSN_1,UNUSED,,1,,,,,,,,,
U1,PCI_AD<27>,IOB,IO_L33N_M3DQ13_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
U2,,,GND,,,,,,,,,,,,
U3,PCI_AD<26>,IOB,IO_L33P_M3DQ12_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
U4,PCI_AD<10>,IOB,IO_L10P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
U5,,,VCCO_3,,,3,,,,,3.30,,,,
U6,BUS_AD_PAD_A<28>,IOB,IO_L63P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
U7,,,GND,,,,,,,,,,,,
U8,BUS_AD_PAD_A<11>,IOB,IO_L51N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
U9,BUS_AD_PAD_A<8>,IOB,IO_L50P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
U10,BUS_AD_PAD_A<13>,IOB,IO_L52N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
U11,,,VCCAUX,,,,,,,,2.5,,,,
U12,,IOBS,IO_L22N_2,UNUSED,,2,,,,,,,,,
U13,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
U14,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
U15,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
U16,channel_0_up_pad,IOB,IO_L8N_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
U17,rst_channel_1_pad,IOB,IO_L8P_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,NO,NONE,
U18,,,VCCO_1,,,1,,,,,3.30,,,,
U19,rst_channel_3_pad,IOB,IO_L70P_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,NO,NONE,
U20,,IOBM,IO_L51P_M1DQ12_1,UNUSED,,1,,,,,,,,,
U21,,,GND,,,,,,,,,,,,
U22,,IOBS,IO_L51N_M1DQ13_1,UNUSED,,1,,,,,,,,,
V1,PCI_AD<25>,IOB,IO_L32N_M3DQ15_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
V2,PCI_AD<24>,IOB,IO_L32P_M3DQ14_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
V3,PCI_AD<11>,IOB,IO_L10N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
V4,,,GND,,,,,,,,,,,,
V5,BUS_AD_PAD_A<29>,IOB,IO_L63N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
V6,,,VCCAUX,,,,,,,,2.5,,,,
V7,BUS_AD_PAD_A<1>,IOB,IO_L46N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
V8,,,VCCO_2,,,2,,,,,3.30,,,,
V9,BUS_AD_PAD_A<9>,IOB,IO_L50N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
V10,,,GND,,,,,,,,,,,,
V11,,IOBM,IO_L42P_2,UNUSED,,2,,,,,,,,,
V12,,,VCCO_2,,,2,,,,,3.30,,,,
V13,,IOBM,IO_L18P_2,UNUSED,,2,,,,,,,,,
V14,,,GND,,,,,,,,,,,,
V15,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
V16,,,VCCO_2,,,2,,,,,3.30,,,,
V17,start_pulse_A,IOB,IO_L11P_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
V18,pulse_A,IOB,IO_L9N_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,NO,NONE,
V19,channel_1_up_pad,IOB,IO_L9P_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
V20,channel_2_up_pad,IOB,IO_L70N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
V21,,IOBM,IO_L52P_M1DQ14_1,UNUSED,,1,,,,,,,,,
V22,,IOBS,IO_L52N_M1DQ15_1,UNUSED,,1,,,,,,,,,
W1,PCI_AD<3>,IOB,IO_L2N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
W2,,,VCCO_3,,,3,,,,,3.30,,,,
W3,PCI_AD<2>,IOB,IO_L2P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
W4,BUS_AD_PAD_A<26>,IOB,IO_L62P_D5_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
W5,,,VCCO_2,,,2,,,,,3.30,,,,
W6,BUS_AD_PAD_A<14>,IOB,IO_L53P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
W7,,,GND,,,,,,,,,,,,
W8,BUS_AD_PAD_A<0>,IOB,IO_L46P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
W9,BUS_AD_PAD_A<2>,IOB,IO_L47P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
W10,BUS_ACK_PAD_A,IOB,IO_L44P_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,YES,NONE,
W11,,IOBS,IO_L42N_2,UNUSED,,2,,,,,,,,,
W12,,IOBM,IO_L29P_GCLK3_2,UNUSED,,2,,,,,,,,,
W13,,IOBS,IO_L18N_2,UNUSED,,2,,,,,,,,,
W14,,IOBM,IO_L20P_2,UNUSED,,2,,,,,,,,,
W15,,IOBS,IO_L17N_2,UNUSED,,2,,,,,,,,,
W16,,,GND,,,,,,,,,,,,
W17,end_pulse_A,IOB,IO_L11N_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
W18,BUS_REQ_W_1_PAD_A,IOB,IO_L6P_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,YES,NONE,
W19,,,GND,,,,,,,,,,,,
W20,BUS_REQ_W_1_PAD_B,IOB,IO_L60P_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,YES,NONE,
W21,,,VCCO_1,,,1,,,,,3.30,,,,
W22,BUS_REQ_W_2_PAD_B,IOB,IO_L60N_1,OUTPUT,LVCMOS33,1,12,,,,,LOCATED,YES,NONE,
Y1,PCI_AD<1>,IOB,IO_L1N_VREF_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
Y2,PCI_AD<0>,IOB,IO_L1P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
Y3,BUS_AD_PAD_A<20>,IOB,IO_L58P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
Y4,BUS_AD_PAD_A<27>,IOB,IO_L62N_D6_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
Y5,BUS_AD_PAD_A<16>,IOB,IO_L54P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
Y6,BUS_AD_PAD_A<15>,IOB,IO_L53N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
Y7,BUS_AD_PAD_A<4>,IOB,IO_L48P_D7_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
Y8,BUS_AD_PAD_A<3>,IOB,IO_L47N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
Y9,BUS_WE_PAD_A,IOB,IO_L43P_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
Y10,,IOBS,IO_L44N_2,UNUSED,,2,,,,,,,,,
Y11,,IOBM,IO_L32P_GCLK29_2,UNUSED,,2,,,,,,,,,
Y12,CLOCK_PAD_A,IOB,IO_L29N_GCLK2_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,YES,NONE,
Y13,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
Y14,,IOBS,IO_L20N_2,UNUSED,,2,,,,,,,,,
Y15,,IOBM,IO_L21P_2,UNUSED,,2,,,,,,,,,
Y16,,IOBM,IO_L17P_2,UNUSED,,2,,,,,,,,,
Y17,,IOBM,IO_L15P_2,UNUSED,,2,,,,,,,,,
Y18,BUS_REQ_W_2_PAD_A,IOB,IO_L6N_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,YES,NONE,
Y19,BUS_REQ_R_1_PAD_A,IOB,IO_L5P_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,YES,NONE,
Y20,,,CMPCS_B_2,,,,,,,,,,,,
Y21,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
Y22,,,DONE_2,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
